VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,Description,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
10000,MAJESTIC FINE WINES,40258,6.53,9.99,375.0,179.0,1168.87,La Crema Chard Sonoma Coast,119.0,729.2700000000002,1188.8100000000004,6.810000000000001,17587.59,19.94000000000051,1.6773075596605431,0.664804469273743,1.0170592110328784,6.529999999999999,Medium,391.8
6785,PALM BAY INTERNATIONAL INC,19349,13.9,20.99,750.0,84.0,1167.6,Trimbach Pnt Gris Rsv,72.0,62.97,1511.28,8.100000000000001,13605.409999999998,343.68000000000006,22.740987771954906,0.8571428571428571,1.2943473792394657,13.899999999999999,Small,166.8
660,SAZERAC NORTH AMERICA INC.,735,10.81,14.49,1000.0,108.0,1167.48,Orange Quattro di Amore,110.0,536.1300000000001,1593.9,115.50000000000003,17932.329999999994,426.4200000000001,26.753246753246756,1.0185185185185186,1.3652482269503547,10.81,Medium,-21.62
7153,PINE STATE TRADING CO,2467,17.96,32.99,375.0,65.0,1167.4,Catskill Most Righteous Brbn,185.0,3479.8000000000006,5310.149999999997,72.45000000000003,15884.819999999998,4142.749999999996,78.01568693916366,2.8461538461538463,4.548697961281477,17.96,Small,-2155.2000000000003
480,BACARDI USA INC,3185,35.33,46.99,1750.0,33.0,1165.8899999999999,Grey Goose L'Orange Vodka,280.0,9257.029999999986,13157.199999999983,514.7500000000005,89286.26999999999,11991.309999999983,91.13876812695709,8.484848484848484,11.28511266071412,35.33,Small,-8726.51
1392,CONSTELLATION BRANDS INC,25917,6.07,9.99,750.0,192.0,1165.44,Hogue Cellars WA Svgn Bl,147.0,1083.9400000000005,1514.5300000000007,16.220000000000006,79528.99,349.0900000000006,23.049394861772328,0.765625,1.2995349395936304,6.07,Medium,273.15000000000003
3252,E & J GALLO WINERY,15262,4.41,6.49,750.0,264.0,1164.24,Bella Sera Moscato,245.0,253.10999999999996,1590.0500000000002,27.539999999999996,61966.909999999996,425.8100000000002,26.77966101694916,0.928030303030303,1.365740740740741,4.41,Medium,83.79
4425,MARTIGNETTI COMPANIES,1128,24.23,31.99,750.0,48.0,1163.04,Smugglers Notch Gin,57.0,1375.5700000000002,1823.4300000000003,44.959999999999994,144929.24,660.3900000000003,36.21690988960367,1.1875,1.5678136607511353,24.23,Small,-218.07
4692,KOBRAND CORPORATION,25056,64.51,99.99,750.0,18.0,1161.18,Jadot Gevrey Chambertin 13,27.0,999.9,2699.73,3.0200000000000005,9139.38,1538.55,56.989032236556994,1.5,2.32498837389552,64.51,Small,-580.59
10000,MAJESTIC FINE WINES,21368,24.13,34.99,750.0,48.0,1158.24,KJ Est 12 Pnt Nr Outland Rdg,50.0,1329.6200000000001,1749.5,5.5200000000000005,17587.59,591.26,33.795941697627896,1.0416666666666667,1.5104814200856471,24.13,Small,-48.26
9744,FREDERICK WILDMAN & SONS,13784,15.03,26.99,500.0,77.0,1157.31,Churchills 10 Yr Tawny Port,80.0,1449.4200000000003,2033.2000000000003,6.240000000000001,3999.9299999999994,875.8900000000003,43.079382254574085,1.0389610389610389,1.756832655036248,15.03,Small,-45.089999999999996
1265,BLACK ROCK SPIRITS LLC,3599,14.05,24.99,750.0,82.0,1152.0999999999997,Bakon Vodka,82.0,824.6700000000001,2049.1800000000003,64.55,5.790000000000002,897.0800000000006,43.77751100440179,1.0,1.778647686832741,14.049999999999995,Small,0.0
6785,PALM BAY INTERNATIONAL INC,46555,5.84,8.99,750.0,197.0,1150.48,Portillo Pnt Nr,217.0,1186.6800000000007,1950.8300000000008,24.090000000000007,13605.409999999998,800.3500000000008,41.026127340670406,1.101522842639594,1.695666156734581,5.84,Medium,-116.8
9165,ULTRA BEVERAGE COMPANY LLP,15425,14.37,21.99,750.0,80.0,1149.6000000000001,John Anthony Svgn Bl,73.0,417.81000000000006,1605.27,8.180000000000001,68054.70000000003,455.66999999999985,28.385879011007486,0.9125,1.3963726513569936,14.370000000000001,Small,100.58999999999999
1392,CONSTELLATION BRANDS INC,41171,2.66,3.99,500.0,432.0,1149.1200000000003,Vendange Pnt Grigio Cal,415.0,263.34,1655.8500000000004,31.220000000000006,79528.99,506.73,30.602409638554214,0.9606481481481481,1.440972222222222,2.6600000000000006,Medium,45.22
90011,FORTUNE WINE BROKERS LLC,2484,36.95,50.99,750.0,31.0,1145.45,Tatoosh Bourbon,111.0,4476.139999999999,5786.889999999998,87.57999999999996,238.61,4641.439999999998,80.20612107712432,3.5806451612903225,5.052066873281241,36.95,Small,-2956.0
10754,PERFECTA WINES,23898,9.08,16.99,750.0,126.0,1144.0800000000002,Dr Konstantin Frank Rose,295.0,2531.5100000000007,5012.049999999997,32.81,28720.52,3867.9699999999975,77.17341207689468,2.3412698412698414,4.3808562338298,9.080000000000002,Medium,-1534.52
90024,VINILANDIA USA,45185,9.08,13.99,750.0,126.0,1144.0800000000002,Scagliola Moscato D'Asti Prm,95.0,335.78999999999996,1519.0500000000002,10.650000000000002,2802.6400000000003,374.97,24.68450676409598,0.753968253968254,1.3277480595762534,9.080000000000002,Medium,281.48
9552,M S WALKER INC,14652,10.59,15.99,750.0,108.0,1143.72,Cambria Katherine Vyd Chard,107.0,831.4800000000001,1710.9300000000003,11.89,55551.819999999985,567.2100000000003,33.15214532447266,0.9907407407407407,1.4959343195887107,10.59,Medium,10.59
4425,MARTIGNETTI COMPANIES,22889,24.32,35.99,750.0,47.0,1143.04,Le Petit Haut Lafitte Brdx,47.0,35.99,1691.53,5.29,144929.24,548.49,32.4256737982773,1.0,1.4798519736842106,24.32,Small,0.0
4425,MARTIGNETTI COMPANIES,26328,19.04,27.99,750.0,60.0,1142.3999999999999,Cristom Vyds Viognier Estate,44.0,923.6700000000001,1231.56,4.86,144929.24,89.16000000000008,7.23959855792654,0.7333333333333333,1.0780462184873951,19.04,Small,304.64
480,BACARDI USA INC,23205,10.66,15.99,187.0,107.0,1140.6200000000001,M & R Prosecco Frizzante,98.0,1103.3100000000004,1567.0200000000004,2.880000000000001,89286.26999999999,426.4000000000003,27.21088435374151,0.9158878504672897,1.3738317757009348,10.660000000000002,Medium,95.94
90011,FORTUNE WINE BROKERS LLC,44220,21.47,33.99,500.0,53.0,1137.9099999999999,Vinedo de Los Vientos Alcyo,52.0,930.7300000000001,1790.48,3.96,238.61,652.5700000000002,36.44665117733793,0.9811320754716981,1.5734812067738224,21.47,Small,21.47
6785,PALM BAY INTERNATIONAL INC,26705,31.57,47.99,750.0,36.0,1136.52,Mazzei Castello Font Gr Slzn,24.0,671.86,1151.76,2.67,13605.409999999998,15.240000000000009,1.323192331735779,0.6666666666666666,1.0134093548727696,31.57,Small,378.84000000000003
17035,PERNOD RICARD USA,8958,7.99,13.99,750.0,142.0,1134.5800000000002,Malibu Peach Sparkler RTD,527.0,3156.8600000000024,5284.730000000003,415.36000000000024,123780.21999999997,4150.150000000003,78.53097509238884,3.711267605633803,4.657873398085638,7.990000000000001,Medium,-3076.15
4692,KOBRAND CORPORATION,14105,75.16,114.99,750.0,15.0,1127.4,Cakebread Dancing Bear Cab S,34.0,1954.83,3909.659999999999,3.8,9139.38,2782.259999999999,71.16373290772087,2.2666666666666666,3.467855242150079,75.16000000000001,Small,-1428.04
6355,NICHE W & S,5680,1.46,1.99,50.0,771.0,1125.66,Barenjager Honey Liqueur,3262.0,3454.640000000013,6491.379999999986,166.74999999999937,551.2099999999999,5365.719999999986,82.65915722080663,4.230869001297017,5.766732405877428,1.4600000000000002,Medium,-3636.86
9552,M S WALKER INC,249,16.29,21.99,750.0,69.0,1124.0099999999998,Massenez Creme de Cassis,81.0,1429.3500000000004,1781.1900000000005,63.88999999999998,55551.819999999985,657.1800000000007,36.89555858723666,1.173913043478261,1.584674513571944,16.289999999999996,Small,-195.48
3960,DIAGEO NORTH AMERICA INC,7838,8.45,12.99,750.0,133.0,1123.85,Piehole Pecan Pie,117.0,674.5500000000001,1753.83,92.11999999999998,257032.07000000007,629.98,35.92024312504633,0.8796992481203008,1.5605552342394449,8.45,Medium,135.2
